Allele List,Frequency
LOcll_1_525A0,0.6379
LOcll_1_525A1,0.3621
LOcll_1_528A0,0.7241
LOcll_1_528A1,0.2759
LOcll_1_534A0,0.1552
LOcll_1_534A1,0.8448
LOcll_1_537A0,0.931
LOcll_1_537A1,0.069
LOcll_1_538A0,0.2759
LOcll_1_538A1,0.7241
LOcll_1_538A2,0.569
LOcll_1_538A3,0.431
LOcll_1_539A0,0.1724
LOcll_1_539A1,0.8276
LOcll_1_594A0,0.3103
LOcll_1_594A1,0.6897
LOcll_1_611A0,0.1897
LOcll_1_611A1,0.8103
LOcll_1_618A0,0.0
LOcll_1_618A1,1.0
LOcll_1_623A0,0.6207
LOcll_1_623A1,0.3793
LOcll_1_625A0,0.0517
LOcll_1_625A1,0.9483
LOcll_1_632A0,0.6552
LOcll_1_632A1,0.3448
LOcll_1_646A0,0.2885
LOcll_1_646A1,0.7115
LOcll_1_651A0,0.6786
LOcll_1_651A1,0.3214
LOcll_1_652A0,0.2414
LOcll_1_652A1,0.7586
LOcll_1_655A0,0.8621
LOcll_1_655A1,0.1379
LOcll_1_656A0,0.38
LOcll_1_656A1,0.62
LOcll_1_657A0,0.7414
LOcll_1_657A1,0.2586
LOcll_1_659A0,0.4655
LOcll_1_659A1,0.5345
LOcll_1_660A0,0.8276
LOcll_1_660A1,0.1724
LOcll_1_661A0,0.6897
LOcll_1_661A1,0.3103
LOcll_1_661A2,0.5217
LOcll_1_661A3,0.4783
LOcll_1_664A0,0.8966
LOcll_1_664A1,0.1034
LOcll_1_665A0,0.9138
LOcll_1_665A1,0.0862
LOcll_1_668A0,0.7414
LOcll_1_668A1,0.2586
LOcll_1_686A0,0.3103
LOcll_1_686A1,0.6897
LOcll_1_689A0,0.4483
LOcll_1_689A1,0.5517
LOcll_1_690A0,0.1724
LOcll_1_690A1,0.8276
LOcll_1_691A0,0.7241
LOcll_1_691A1,0.2759
LOcll_1_692A0,0.0862
LOcll_1_692A1,0.9138
LOcll_1_709A0,0.1724
LOcll_1_709A1,0.8276
LOcll_1_709A2,0.1607
LOcll_1_709A3,0.8393
LOcll_1_711A0,0.2586
LOcll_1_711A1,0.7414
LOcll_1_725A0,0.2586
LOcll_1_725A1,0.7414
LOcll_1_726A0,0.1897
LOcll_1_726A1,0.8103
LOcll_1_727A0,0.1207
LOcll_1_727A1,0.8793
LOcll_1_729A0,0.6379
LOcll_1_729A1,0.3621
LOcll_1_735A0,0.4483
LOcll_1_735A1,0.5517
LOcll_1_737A0,0.5172
LOcll_1_737A1,0.4828
LOcll_1_755A0,0.6154
LOcll_1_755A1,0.3846
LOcll_1_765A0,0.1552
LOcll_1_765A1,0.8448
LOcll_1_769A0,0.3462
LOcll_1_769A1,0.6538
LOcll_1_772A0,0.8571
LOcll_1_772A1,0.1429
LOcll_1_780A0,0.3621
LOcll_1_780A1,0.6379
LOcll_1_786A0,0.5345
LOcll_1_786A1,0.4655
LOcll_1_789A0,0.6897
LOcll_1_789A1,0.3103
LOcll_1_794A0,0.7241
LOcll_1_794A1,0.2759
LOcll_1_797A0,0.1724
LOcll_1_797A1,0.8276
LOcll_1_807A0,0.8793
LOcll_1_807A1,0.1207
LOcll_1_808A0,0.7308
LOcll_1_808A1,0.2692
LOcll_1_812A0,0.9483
LOcll_1_812A1,0.0517
LOcll_1_813A0,0.7931
LOcll_1_813A1,0.2069
LOcll_1_824A0,0.8966
LOcll_1_824A1,0.1034
LOcll_1_845A0,0.5172
LOcll_1_845A1,0.4828
